"wvl","rad"
380,8.64081922862816
384.99997,7.55946284685024
389.99994,8.18860089581206
394.99997,8.08060515140099
399.99994,11.6023632576403
404.99997,13.1023062107524
409.99994,12.5026084759475
415,12.9964971083817
419.99994,12.9065511939993
424.99997,12.4034195996547
429.99994,11.1992087924464
434.99997,12.2996023151439
439.99997,12.8014701082159
444.99982,13.4063221534835
449.99997,14.2972923231473
454.99991,14.3986833737399
460,14.4001425256959
464.99994,14.4933861508369
469.99988,14.3049184440628
474.99991,14.3021439768201
480.00012,13.9961866652277
484.99985,13.2966642645572
490,13.1982363869886
494.99988,13.597949171918
500,12.897912312541
504.99988,12.8050349679802
510.00003,12.7995877112294
515,12.1046304412513
520.00006,12.0987539090272
525.00018,12.503517870006
530,12.4030576035005
535.00006,12.1976711344245
539.99988,11.7989867263195
545.00006,11.9010637851403
550,11.9007483476493
555,11.7003835155249
560.00006,11.300877928445
565.00006,11.3008188957125
570.00012,10.8977228023665
574.99994,10.8008563294571
580,10.8994125668317
584.99994,10.7990337847474
590.00006,9.92242632386112
595,10.0980385252323
600,10.2991509656365
605,10.4000379393879
610.00012,10.3032176508835
615.00018,10.0040632192956
620.00012,10.0999747690228
625.00006,9.82170928987359
630.00012,9.6382262458296
635.00006,9.81221918771758
640,9.85121158273744
645.00012,9.50805662995198
650,9.19776456961214
655.00012,9.10657538247716
660.00012,9.41979310783278
665.00006,9.6267987283135
670,9.57715992794587
675.00006,9.49877341514974
680.00006,9.45248493514134
685.00006,8.71951082636247
690,7.81988159836207
695,8.13854352768213
700.00006,8.19005342770411
705.00018,8.36118987111155
710.00006,8.51133479772894
714.99994,7.73007899632121
720.00018,6.27607456396732
725.00012,6.25932216483288
730.00006,6.51313656221189
734.99988,7.46753463536446
740.00006,7.94182444128876
745.00018,8.20157405732358
750,8.20262930026903
754.99994,7.88308775638414
760.00012,4.78082383975979
765.00006,4.65216244321448
770,7.21125235040231
774.99994,7.67070455247485
780,7.61149954526124
785,7.42807840603966
790,7.04028918337468
795,6.91921250091471
800,6.82749893167637
805.00012,6.79989731929194
810,6.38901261877446
814.99994,5.0772230249926
820,4.9289734871395
825.00006,5.24082801267542
830.00006,5.4208023966935
835,5.81991778207038
840.00006,6.18980874495998
845,6.33209358485089
850,6.15991634192508
854.99994,5.99310730862645
860,6.28405434264611
865.00006,6.03221351794021
870.00018,6.07839935336606
875.00024,6.10868075275573
880.00006,5.99898318018611
884.99988,5.89677960001683
