"wvl","ref_rad","signal","noise_rad","SNR"
380.00006,6.83,54781.1187478884,0.00185679032617146,353.125440393669
386.00009,6.48,51740.8345518615,0.00179878816415797,338.915939210316
392.00006,6.74,53815.3085613077,0.00179088439519657,348.651142889358
398.00003,8.31,71018.699812711,0.00191671089125141,423.496857576696
404,10.2,94559.2283989102,0.00207664717403486,512.788119866781
410.00009,10.4,103464.794534022,0.00211223811697033,543.575291088325
416.00015,10.5,109211.945951699,0.00212268193146074,562.722796240137
422.00018,10.3,113260.8732373,0.00212045212266639,575.90024168262
428.00003,9.69,108725.926735914,0.00205983523307447,561.124070349472
434.00006,9.82,111278.685985335,0.00204856261946949,569.480273101007
440.00006,10.5,119407.852925596,0.0020737426791021,595.444994233639
446.00003,11.1,124817.155980623,0.0020799818534395,612.212956595892
452.00006,11.6,128321.39309504,0.00207390026982609,622.872525585968
458.00009,11.7,127754.188217942,0.00204330704983852,621.157621601855
464.00009,11.8,129955.796324065,0.00202997227161399,627.79182643059
470.00006,11.7,129070.731660495,0.00199887386792443,625.131990593037
476.00012,11.5,128772.810810374,0.00197195175935233,624.234505414219
482.00015,11.1,128682.596506208,0.00194688809126291,623.962519598131
488.00015,10.8,130098.600683125,0.00193094172219714,628.220093260876
494.00012,10.9,136891.729024689,0.00194491290909073,648.3133182295
499.99991,10.5,137069.363379548,0.00192253208303587,648.831589031396
505.99991,10.3,139095.278018434,0.00191049082169389,654.717501553335
511.99994,10.1,140738.739869047,0.00189668125843938,659.459019861442
518.00012,9.81,141515.834001751,0.00187870755478893,661.690788094829
524,9.98,147289.035612113,0.001886285960694,678.07152608474
530.00006,9.95,150195.807258942,0.00187924574691774,686.190192057116
536.00006,9.75,148567.730353177,0.00185029515900105,681.653331612745
541.99994,9.53,145207.290463475,0.00181355115922938,672.20476854373
548,9.52,146660.295249551,0.00180066641027314,676.30427993338
554.00006,9.37,147572.462027702,0.00178548018751107,678.866863606955
560.00012,9.08,144822.77929001,0.00175344799410821,671.116269741717
565.99994,8.9,140816.977046976,0.00171609435320769,659.684007399673
572.00012,8.65,137269.394525861,0.00168147620720951,649.414780344818
578,8.62,136651.67670763,0.00166114183447433,647.612369801301
584,8.5,136148.262585738,0.00164174872260332,646.140292600862
589.99988,8.03,131192.340885502,0.00160220517749439,631.492010479126
595.99994,8.01,131440.951208521,0.0015872177325067,632.233718638702
601.99994,8.2,139556.096924354,0.00160787695902875,656.049979344929
607.99994,8.2,142523.999511569,0.00160501624169295,664.576526001321
614,8.05,143904.189407718,0.00159528588295753,668.509645445407
619.99994,7.96,141864.312481923,0.00157112531063594,662.689488992173
625.99994,7.77,143922.342235617,0.00156478213594411,668.561241901452
631.99994,7.72,145910.248947567,0.00155821984720576,674.190802225917
638.00006,7.8,151969.949964057,0.00156834233976035,691.10442884914
644,7.61,151213.533402905,0.00155068780506082,689.012963481772
650,7.35,147408.931822378,0.00152111987226731,678.408072114553
655.99982,7.33,152421.207467555,0.00152708837899148,692.349505037977
662.00012,7.57,158849.917468924,0.00153814551965931,709.878454289453
667.99994,7.66,161385.07279622,0.0015339516476086,716.686925177781
673.99988,7.6,163179.691850369,0.0015270107166805,721.472199956085
680.00012,7.43,163880.887836275,0.00151612888750258,723.334281827758
685.99988,6.76,149932.793697816,0.00145089863138026,685.459044392293
692,6.35,140219.519893162,0.00140132241768257,657.964211779891
698,6.47,144821.36151151,0.00140677270495489,671.112253368803
704,6.59,149263.520794706,0.00141132592612693,683.59546306048
709.99994,6.59,148068.192996323,0.00139500448716247,680.256012453586
716.00006,5.78,132061.798757842,0.00132357489940091,634.082740901078
721.99976,5,114441.376555694,0.00124410153684477,579.695912786248
727.99994,5.04,114573.62450468,0.00123437125236537,580.119855516564
733.99994,5.69,129970.071149184,0.00128330604767751,627.834647439041
739.99988,6.27,143161.381318264,0.00132099985120946,666.395366941199
745.99988,6.51,148564.162981864,0.00132942246765652,681.643361720383
752.00006,6.33,145117.062149115,0.00130679096048109,671.949481900864
758.00006,4.9,112651.446888471,0.00117818695163628,573.932684503834
764.00012,3.93,90440.6114494166,0.00108135435455225,498.048659580234
770.00012,5.37,123226.438747742,0.00119898784661655,607.322252727454
776.00018,6.05,139906.922211586,0.00124855636897415,657.062845047235
782.00006,6,138833.835977249,0.00123530371870155,653.960491634508
788.00006,5.73,131462.364585174,0.00120055865252697,632.297569044381
794.00006,5.52,127147.6461486,0.00117651742355384,619.319344884022
800,5.42,124644.908216702,0.00115898876607557,611.684962573465
805.99988,5.26,122320.507046979,0.00114227829414793,604.522120889197
812,4.59,109111.446236564,0.00108711973586438,562.392512830134
817.99988,3.92,93371.4155821883,0.00102113832846677,508.571364347629
824,4.02,95406.3764167012,0.00102133041160385,515.779021181567
830.00006,4.28,103999.527433936,0.00104531959618632,545.379674993089
836.00006,4.64,114581.18978342,0.00107493293559401,580.144099552953
841.99988,4.93,122613.432956441,0.00109441787437621,605.428708278051
847.99988,4.94,125725.189755367,0.00109693801079469,614.990060099452
853.99976,4.84,126231.722312065,0.00109088131072283,616.53464460799
860,4.91,130292.234748963,0.00109631609360153,628.800401657296
865.99988,4.83,128622.724302432,0.00108341252235457,623.781956312689
872,4.85,133617.840998432,0.00109165391512009,638.696926143759
878.00006,4.81,134095.749076179,0.00108567353296343,640.108383999269
884,4.69,132956.24415359,0.00107479717560561,636.738554522515
890.00006,4.36,124851.86197988,0.00104243683550685,612.319295146209
895.99994,3.49,103258.388164157,0.00096584871661555,542.877513552373
902.00006,2.98,89048.5664731707,0.00091106409374605,492.990076297744
