"wvl","rad"
380.00006,6.83159378820287
386.00009,6.48191725502337
392.00006,6.73963242001047
398.00003,8.30953045348756
404,10.1982533845268
410.00009,10.3985231741212
416.00015,10.4984344123498
422.00018,10.3014936393362
428.00003,9.68846908910719
434.00006,9.82089876075809
440.00006,10.4974287152765
446.00003,11.1005983469388
452.00006,11.60055128342
458.00009,11.6988968351711
464.00009,11.7978443720119
470.00006,11.6978525166952
476.00012,11.4989536227363
482.00015,11.0991701979479
488.00015,10.7971230399658
494.00012,10.9019948113924
499.99991,10.4989581482122
505.99991,10.3021230073176
511.99994,10.1017365739766
518.00012,9.80882767473066
524,9.98050121648915
530.00006,9.95242037673928
536.00006,9.75280341582643
541.99994,9.52965375447403
548,9.52052676427971
554.00006,9.36777486948548
560.00012,9.0829551045742
565.99994,8.89771740910241
572.00012,8.65291471854942
578,8.61557438677669
584,8.49738949024771
589.99988,8.03066604198265
595.99994,8.01002282123716
601.99994,8.20004495490572
607.99994,8.19977518705536
614,8.04901441118905
619.99994,7.9599526769616
625.99994,7.77107980169381
631.99994,7.7191913466167
638.00006,7.79989048117888
644,7.61133289266558
650,7.34851405687811
655.99982,7.32859066820753
662.00012,7.57127639628815
667.99994,7.66154642552341
673.99988,7.60069604341742
680.00012,7.43045607640995
685.99988,6.76232843833224
692,6.35045755042073
698,6.4702818904784
704,6.58801540715533
709.99994,6.59262169100944
716.00006,5.78083783833852
721.99976,4.99967813342982
727.99994,5.041152162805
733.99994,5.68819154003737
739.99988,6.26902594902343
745.99988,6.50933261867217
752.00006,6.33141946973748
758.00006,4.89926084939291
764.00012,3.92871920751036
770.00012,5.3697995417342
776.00018,6.05096997115053
782.00006,6.00042436126953
788.00006,5.72947430257489
794.00006,5.51993147864754
800,5.42093744751758
805.99988,5.2593981939805
812,4.5910032305726
817.99988,3.92067741611583
824,4.01966539294845
830.00006,4.28007719586813
836.00006,4.63943476409645
841.99988,4.93108395438784
847.99988,4.93969781512323
853.99976,4.84002959521532
860,4.90933661047172
865.99988,4.8302020718151
872,4.84962023059012
878.00006,4.80832117903798
884,4.69033865781653
890.00006,4.35850755748682
895.99994,3.49054189797758
902.00006,2.97816942441402
908.00006,2.81107918506197
913.99994,2.61962295707959
920.00018,2.80001612090172
926.00006,2.37022840855119
932.00012,1.13952823155362
938,0.687760636915855
944.00012,0.765934288922137
949.99982,0.864623031064348
956.00006,1.09040140307609
962,1.50942023981919
968.00018,2.18929058270367
973.99988,2.5501642243206
980,2.83907673150693
985.99994,3.31861844370581
992.00012,3.58800340118807
998.00012,3.64047158559391
1004.00018,3.59068956530063
1009.99988,3.56986090052971
1016,3.56872980630693
1022.00006,3.53036691808294
1028,3.50103200526268
1034.00012,3.46953236518313
1040,3.42934995918161
1045.99988,3.38043081771873
1051.99988,3.32170981904454
1058,3.21920278624442
1064.00012,3.11993090272276
1069.99988,3.04913877392618
1076.00012,2.99999864166702
1081.99976,2.89114014493015
1087.99963,2.72905691507629
1093.99976,2.46065257124034
1099.99976,2.07076951070365
1105.99988,1.66982268615108
1112.00024,1.11917288092604
1118.00012,0.475677078149171
1123.99988,0.213192426488917
1129.99988,0.234608489466028
1135.99963,0.349308893834987
1141.99976,0.409519827497551
1147.99976,0.39493594206295
1153.99976,0.634025851028194
1160,1.08969642741605
1165.99963,1.48971742075145
1172.00037,1.71075616508901
1177.99988,1.74864597837602
1183.99988,1.72981499362443
1189.99963,1.81893420803655
1196.00024,1.86084334558274
1201.99976,1.83016164553988
1208,1.89117656591918
1213.99988,1.9609953387581
1220.00024,2.05990347559268
1225.99963,2.12942974578775
1232,2.22077013394575
1237.99976,2.25959572181417
1243.99988,2.24067609824041
1249.99976,2.17994884360025
1256,2.04034732121108
1262.00012,1.79956091439871
1268.00012,1.66053656039048
1274.00012,1.78966661980959
1279.99976,1.92106661306971
1285.99976,1.94966083174611
1291.99988,1.880190663651
1298.00012,1.73998928067467
1304,1.54992648488449
1309.99988,1.32878953315806
1315.99951,1.14993610280138
1321.99976,0.98536898461351
1328,0.716119577081943
1334.00012,0.495370736466992
1340,0.381446826962164
1345.99976,0.159124933417012
1352,0.0278837107076629
1358,0.00665379431615746
1364,0.00440134953262221
1370.00012,0.0053960954843521
1376.00049,0.00499714517856252
1382.00024,0.00499789149104984
1388,0.00502380445094743
